   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
43660,4/26/2004,1,BC,9,9,18,9,9,BRC,CO-30,9
43881,4/24/2004,1,others,0.5,0,0,0.3,0.3,OT-1,CO-64,0.5
45333,4/11/2004,1,BC,9.5,8.3,18,9.3,9.3,BRC,CO-32,9.5
45539,4/9/2004,1,others,18,10,4,18,18,BRC,CO-34,18
45967,4/5/2004,1,BC,0.666667,5,5.4,0.4,0.4,OT-3,CO-11,0.666667
46414,4/2/2004,1,others,8.333333,10,18.2,8.2,8.2,others,CO-68,8.333333
46524,4/1/2004,1,others,1,6.3,7.3,1,1,BRC,CO-60,1
46814,3/29/2004,1,others,8.5,9.3,18,8.3,8.3,WBRC,CO-25,8.5
46816,3/29/2004,1,ICC,4.5,13,17.3,4.3,4.3,others,CO-14,4.5
47340,3/25/2004,1,ICC,2.416667,1,3.25,2.25,2.25,OT-3,CO-13,2.416667
47370,3/24/2004,1,others,8.5,9.3,18,8.3,8.3,others,"CO-59,62",8.5
47492,3/23/2004,1,ICC,6.666667,16.5,23.3,6.4,6.4,OT-2,CO-19,6.666667
48241,3/17/2004,1,others,9.5,9.3,19,9.3,9.3,others,"CO-61,64",9.5
48545,3/15/2004,1,others,1.833333,22,23.5,1.5,1.5,others,CO-63,1.833333
49725,3/5/2004,1,BC,9.166667,9,18.1,9.1,9.1,others,"CO-18,78",9.166667
49910,3/4/2004,1,others,8,9,17,8,8,others,CO-35,8
50794,2/26/2004,1,others,2,0,0,2,2,LOCP,CO-44,2
52222,2/15/2004,1,others,8,10,18,8,8,others,"CO-79,80",8
54394,1/30/2004,1,others,8,10,18,8,8,others,"CO-7,10,13",8
54418,1/30/2004,1,ICC,1.5,20.15,21.45,1.3,1.3,LOCP,CO-20,1.5
54504,1/29/2004,1,ICC,2.25,18,20.15,2.15,2.15,LOCP,CO-29,2.25
55357,1/22/2004,1,MCC,12.25,8,20.15,12.15,12.15,others,CO-29,12.25
56534,1/13/2004,1,others,2.466667,6,8.28,2.28,2.28,LOCP,CO-20,2.466667
57039,1/9/2004,1,ICC,9,9,18,9,9,others,CO-60,9
57330,1/7/2004,1,others,3.25,13.3,16.45,3.15,3.15,LOCP,CO-46,3.25
59459,12/23/2003,1,ICC,7.25,19.15,2.3,7.15,7.15,LOCP,CO-58,7.25
59996,12/19/2003,1,others,2.166667,11.3,13.4,2.1,2.1,others,"CO-59,62",2.166667
60263,12/17/2003,1,BC,0.833333,17,17.5,0.5,0.5,WBRC,CO-26,0.833333
61205,12/10/2003,1,ICC,7.916667,11.15,19.1,7.55,7.55,others,"CO-6,9,12",7.916667
62976,11/27/2003,1,others,5,10,15,5,5,BRC,CO-28,5
63233,11/24/2003,1,others,8.833333,9,17.5,8.5,8.5,others,"CO-17,76",8.833333
63235,11/24/2003,1,ICC,4.416667,14.5,19.15,4.25,4.25,others,CO-26,4.416667
64211,11/17/2003,1,others,3.25,10,13.15,3.15,3.15,LOCP,CO-38,3.25
